,sentence_id,formality_score_from_raters,informativeness,implicature_score,length_in_words,length_in_characters,f_score,i_score,lexical_density,total_syllables_stop_words_excluded,total_syllables_per_word_stop_words_excluded,total_syllables_stop_words_included,total_syllables_per_word_stop_words_included,number_of_nouns,number_of_adjectives,number_of_adverbs,number_of_verbs,number_of_pronouns,number_of_stop_words,proportion_of_stop_words,number_of_spelling_and_grammatical_errors,spelling_and_grammar_errors_per_character,positive_vader_score,negative_vader_score,neutral_vader_score,compound_vader_score
total_syllables_per_word_stop_words_excluded,-0.0058621409546717965,0.3494912628846503,0.2899133094557734,-0.02956748107382341,0.13758415267332766,0.25370431055283826,0.2414472302072968,-0.1517515523582459,0.1862129221319015,0.36758696823310616,1.0,0.3104324193145844,0.8732495271056546,0.21349419562238683,0.18754489937062266,-0.0075700780613184165,0.05333708083385205,-0.13190136714613807,0.06443871794969187,-0.12930784772242765,-0.006977396872509753,-0.13192505612911448,-0.11695597862733026,0.04477610659724828,0.07568326320229793,-0.044808721157589985
total_syllables_stop_words_included,-0.002432273962286657,0.5244878394105114,0.5844874495989981,-0.024257954261175663,0.9665377726604338,0.992840175980533,0.28321860097951906,0.01204819693305176,-0.11855764928426574,0.9776089007699508,0.3104324193145844,1.0,0.2714941786740408,0.8724539352285096,0.6300515204393049,0.3677736044582103,0.7053014866901693,0.2980452158989455,0.831291275243626,-0.08579999165543815,0.16610989414040156,-0.18293568193801427,-0.11316326154502554,0.021734446143845253,0.08674820182243644,0.019970839287567228
total_syllables_per_word_stop_words_included,-0.015588739048207633,0.3264081671396278,0.271799176507129,-0.06988453054442618,0.07859218559941847,0.21698258123146508,0.3048660166456531,-0.1824426560297181,0.3627884510189225,0.36804492543303385,0.8732495271056546,0.2714941786740408,1.0,0.24057972668539693,0.1863506670820177,-0.054277776061626454,-0.031858761854805295,-0.2280287235620137,-0.07788900596924798,-0.4094787407002616,0.024832261375994848,-0.08158571637392478,-0.06865811565553147,0.02818921289902594,0.04324213624576148,-0.03155552505119114
number_of_nouns,-0.007449067819050493,0.5236812516590386,0.5823472608108609,-0.11061223416996598,0.8328266839594465,0.8748634643448215,0.4690957931695676,-0.028763437055204885,-0.00936848502579149,0.8969027954477136,0.21349419562238683,0.8724539352285096,0.24057972668539693,1.0,0.4814501956430106,0.13421977799644574,0.4364796759815059,0.06795965970524871,0.6059850434944196,-0.26983542064904315,0.19427456855756647,-0.13074820885412328,-0.10392264515470834,-0.006319315478732972,0.09612980548816072,0.015121874470375168
number_of_adjectives,-0.014764568685026017,0.32670670501745674,0.3688727171739551,0.009023461647753386,0.5985667710452891,0.6286106505288528,0.27945436064700396,0.043256534868445884,0.022443678219418818,0.6320201754862721,0.18754489937062266,0.6300515204393049,0.1863506670820177,0.4814501956430106,1.0,0.1775709011272334,0.33540582082936965,0.08806162607062047,0.4749610409272585,-0.12321095558363185,0.09711807674709765,-0.12084773789780039,-0.00022044366753618634,0.03489569330403724,-0.021670292605380056,0.058781532751763135
number_of_adverbs,0.007690231240858782,-0.016689903652313813,0.07696610843841914,0.10614105441283525,0.421854013317814,0.37884274806022156,-0.3027892387117098,0.06126164369599336,0.053536933161796134,0.29963133504257916,-0.0075700780613184165,0.3677736044582103,-0.054277776061626454,0.13421977799644574,0.1775709011272334,1.0,0.4508633892878269,0.3910708374441705,0.48527969921096725,0.17252426424360906,0.10139382346809345,-0.05782202177069222,-0.04626000490095308,-0.0020857577343121217,0.04231813573094152,0.029756286343937722
number_of_verbs,0.01127718195359512,0.258321376495384,0.3452201108330298,0.08254908750059513,0.7710030066401207,0.7246596423150359,-0.16890635803527318,0.19171115726127563,-0.12389731682641457,0.613814112808617,0.05333708083385205,0.7053014866901693,-0.031858761854805295,0.4364796759815059,0.33540582082936965,0.4508633892878269,1.0,0.5579684798263764,0.8111557801119792,0.18535669135365168,0.13330366567251653,-0.1351879382011181,-0.12654745758665595,0.056552589702059626,0.07680545807632054,-0.031067785936419342
number_of_pronouns,-0.015118797475234187,-0.09703135393603622,0.00822488829211337,0.1265389449120482,0.40956441265714294,0.3231104864002198,-0.3777822755459815,0.0686011885004129,-0.2677092548949423,0.1892251368385317,-0.13190136714613807,0.2980452158989455,-0.2280287235620137,0.06795965970524871,0.08806162607062047,0.3910708374441705,0.5579684798263764,1.0,0.5696075260707569,0.34934879614721487,0.09197212965243756,-0.053392397923161715,-0.03188092349028155,-0.0245379910671904,0.04364264463941241,0.059131960752967325
number_of_stop_words,0.0031076188781847054,0.29403219931655167,0.39207058074484835,0.060988240649891085,0.9170218506489558,0.8481145843437725,0.05435458725368482,0.0964442155602073,-0.3246129564148065,0.7028686486761077,0.06443871794969187,0.831291275243626,-0.07788900596924798,0.6059850434944196,0.4749610409272585,0.48527969921096725,0.8111557801119792,0.5696075260707569,1.0,0.30738246663844015,0.1390051835236912,-0.16176735286317853,-0.11846295872334615,0.007314090170513756,0.10047715153222833,0.02548677835383197
proportion_of_stop_words,0.032330113663934915,-0.19586294283066674,-0.18935466357724773,0.13254957325832614,0.01021268842050826,-0.07802617457125484,-0.4283935218064486,0.09539424068904978,-0.46946531895016314,-0.21934019939687563,-0.12930784772242765,-0.08579999165543815,-0.4094787407002616,-0.26983542064904315,-0.12321095558363185,0.17252426424360906,0.18535669135365168,0.34934879614721487,0.30738246663844015,1.0,-0.027216486669655145,-0.08973346954762079,-0.1485765608171942,0.003814487322786532,0.12938859285439575,-0.029403783596181676
number_of_spelling_and_grammatical_errors,-0.032612333265841995,-0.13394716303911086,0.057079438615889724,-0.10714459464740653,0.1700138349881287,0.1674789134307549,-0.0007442608446257173,-0.025511513519412787,-0.01567867718297163,0.16554826563284764,-0.006977396872509753,0.16610989414040156,0.024832261375994848,0.19427456855756647,0.09711807674709765,0.10139382346809345,0.13330366567251653,0.09197212965243756,0.1390051835236912,-0.027216486669655145,1.0,0.5832041677189668,-0.05620328165996991,-0.05668149383738957,0.08534432347044632,0.013787960522568957
spelling_and_grammar_errors_per_character,-0.026806322564565895,-0.2984268091574622,-0.21338726683583067,-0.0843380140593311,-0.17776279944525195,-0.18475039747376526,-0.030893355461026478,-0.08091871014724294,0.04030445593536173,-0.17471378319178868,-0.13192505612911448,-0.18293568193801427,-0.08158571637392478,-0.13074820885412328,-0.12084773789780039,-0.05782202177069222,-0.1351879382011181,-0.053392397923161715,-0.16176735286317853,-0.08973346954762079,0.5832041677189668,1.0,0.044498337265288526,-0.05362836823428435,-0.005881314548896922,0.0125416870278031
positive_vader_score,0.009531602898316435,-0.1512575809190181,-0.20801358900549136,0.031793401199487786,-0.11803044540551462,-0.1137597098301285,0.023050954234123462,-0.04840299279478005,0.10098296844290616,-0.10128089990654919,-0.11695597862733026,-0.11316326154502554,-0.06865811565553147,-0.10392264515470834,-0.00022044366753618634,-0.04626000490095308,-0.12654745758665595,-0.03188092349028155,-0.11846295872334615,-0.1485765608171942,-0.05620328165996991,0.044498337265288526,1.0,-0.16106116304165338,-0.7861118140120331,0.6307007636270733
negative_vader_score,0.016145113819161176,0.06550250677216236,0.0326428924492848,0.08039322351405882,0.01221440421977659,0.019043089885059088,-0.002652507795707963,0.0026193212802119517,0.01123480284146345,0.023208919571855956,0.04477610659724828,0.021734446143845253,0.02818921289902594,-0.006319315478732972,0.03489569330403724,-0.0020857577343121217,0.056552589702059626,-0.0245379910671904,0.007314090170513756,0.003814487322786532,-0.05668149383738957,-0.05362836823428435,-0.16106116304165338,1.0,-0.4834017060591601,-0.6311378194638639
neutral_vader_score,-0.018549929631404786,0.09312786786270622,0.16404831875823203,-0.07854802832463524,0.0970258776105139,0.08896068631376675,-0.018773531915925516,0.041282371162665706,-0.09661368797112276,0.07528778060308723,0.07568326320229793,0.08674820182243644,0.04324213624576148,0.09612980548816072,-0.021670292605380056,0.04231813573094152,0.07680545807632054,0.04364264463941241,0.10047715153222833,0.12938859285439575,0.08534432347044632,-0.005881314548896922,-0.7861118140120331,-0.4834017060591601,1.0,-0.1641637998238986
compound_vader_score,0.00041584653581875784,-0.08063756111932133,-0.07402431704423812,-0.01314105009254154,0.024147416105036037,0.021059668038104908,0.019634479437425995,0.004481848344005106,0.00048085651765690236,0.019009823321662837,-0.044808721157589985,0.019970839287567228,-0.03155552505119114,0.015121874470375168,0.058781532751763135,0.029756286343937722,-0.031067785936419342,0.059131960752967325,0.02548677835383197,-0.029403783596181676,0.013787960522568957,0.0125416870278031,0.6307007636270733,-0.6311378194638639,-0.1641637998238986,1.0
